CensusNo|Name|Address|Telephone|Province|District|Zone|Division
05285|GARTMORE T V|MASKELIYA|0718180129|2.Central|Nuwara Eliya|Hatton|Hattan Tamil - 3
05291|LOINORN T.V|BOGAWANTALAWA|0712858861|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 2
05295|LAXAPANA NO 2 T V|MASKELIYA|0716284288|2.Central|Nuwara Eliya|Hatton|Hattan Tamil - 3
05299|MOTTINGHAM TAMIL VIDYALAYAM|MASKELIYA|0721773861|2.Central|Nuwara Eliya|Hatton|Hattan Tamil - 3
05305|TILLYRIE TAMIL VIDYALAYAM|DICKOYA|0714620746|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 1
05311|FORDYCE TAMIL VIDYALAYA|DICKOYA|0714412270|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 1
05313|RAGALA T M V|RAGALA HALGRANOYA||2.Central|Nuwara Eliya|Walapane|Walapane
05314|LIDDESDALE TAMIL VIDYALAYA|HALGRANOYA|0771289628|2.Central|Nuwara Eliya|Walapane|Walapane
05315|ST LEONARDS T V|HALGRANOYA||2.Central|Nuwara Eliya|Walapane|Walapane
05321|TULLOES T M V|UDAPUSSELLAWA|0522269035|2.Central|Nuwara Eliya|Walapane|Walapane
05323|AMHERST T V|UDAPUSSELLAWA||2.Central|Nuwara Eliya|Walapane|Walapane
05326|HIGHFOREST NO3 T V|KADAPOLA|O525625627|2.Central|Nuwara Eliya|Walapane|Walapane
05328|PRINCESS TAMIL MAHA VDYALAYAM|GONAPITIYA, KANDAPOLA|0718167467|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05329|MAHAUWA T V|WALAPANE|0525615635|2.Central|Nuwara Eliya|Walapane|Walapane
05332|VIGNESWARA TAMIL VIDYALAYA|RAHATHUNGODA ,HEWAHATA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05335|MOOLOYA TAMIL VIDYALAYA|MOOLOYA HEWAHETA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05339|VIVEKANANDA T.V.|HOPE HEWAHETA|0777529648|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05342|SILVERKANDY T V|HALGRANOYA||2.Central|Nuwara Eliya|Walapane|Walapane
05343|RILAMULLA T'M'V|KANDAPOLA|0776071534|2.Central|Nuwara Eliya|Walapane|Walapane
05344|ALMINHAJ NATIONAL SCHOOL|HAPUGASTHALAWA|0542240564|2.Central|Nuwara Eliya|Kotmale|Kotmale
05345|PUNDALUOYA TAMIL MAHA VIDYALAYA|UPPER BAZAR PUNDULOYA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05346|KAHIRA MUSLIM VIDYALAYA|AHASWEWA, HAPUGASTHALAWA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05348|HINDU VIDYALAYA|RAMBODA|0775318777|2.Central|Nuwara Eliya|Kotmale|Kotmale
05351|VIVEGANANTHA MAHA VIDYALAYA|SHEEN GROUP PUNDULOYA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05352|KATABOOLA TAMIL MAHA VIDYALAYA|KATABOOLA|0772077385|2.Central|Nuwara Eliya|Kotmale|Kotmale
05353|VIGNESWARA MAHA VIDYALAYA|HELBODA,KATUKITULA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05354|WEVANDON TAMIL VIDYALAYA|RAMBODA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05356|LABUKELLA TAMIL VIDYALAYA|LABUKELLA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05358|DUNSINANE TAMIL VIDYALAYA|DUNSINANE, PUNDULOYA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05359|QUEENSBERRY TAMIL VIDYALAYA|QUEENSBERRY, KATABOOLA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05365|NORTH HELBODDE TAMIL VIDYALAYA|KATUKITHULA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05370|SHIRI SHANMUGA VIDYALAYA|HAPUGASTHALAWA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05377|ST.XAVIER COLLEGE|NUWARAELIYA|0522223602|2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05378|HOLY TRINITY C.C|NUWARA ELIYA|0522222511|2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05379|GOOD REST B.V|NO.5,KEENA ROAD NUWARA ELIYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05380|METHODIST COLLEGE|KANDAPOLA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05381|ST.ANTHONYS.T.V|BLACKPOOL, NUWARAELIYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05382|COURTLODGE T.V|KANDAPOLA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05383|DESSFORD.TAMIL MAHA VIDYALAYAM|NANUOYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05384|CARLABACK T.V|NANUOYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05386|MARIA T.M.V|LINDULA|0513512516|2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 3
05388|GREATWESTERN T.V|TALAWAKELLA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05390|ABBOTSFORT T.V|NANUOYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05392|N/RADELLA.T.V|NANUOYA.||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05393|N/WEST WARD HO,TAMIL VIDYALAYAM.|NUWARA ELIYA.||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05400|PALMERSTON.TAMIL.VIDYALAYAM|TALAWAKELLE||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05409|TANGAKELLE T.M.V|LINDULA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 3
05415|GLENEAGLES.T.V|LINDULA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 3
05419|EYRIE TAMIL MAHA VIDYALAYA|RAMBODA|0776300679|2.Central|Nuwara Eliya|Kotmale|Kotmale
05425|PEDRO T.V|NUWARA-ELIYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05428|PORAMADULLA.M.M.V|PORAMADULLA,RIKILLAGASKADA|0812365208|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05429|VICTORIYA NATIONA SCHOOL|ADHIKARIGAMA|0815634871|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05430|GANGAPALATHA MAHA VIDIYALAYA|GONAGANTHANA HANGURANKETHA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05431|PALLEBOWALA M V|PALLEBOWALA|0812060409|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05432|DIYATHILAKA CENTRAL COLLAGE|HANGURANKETHA|0812369410|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05433|SIRIMAWO BANDARANAYAKE GIRLS' COLLAGE|HANGURANKETHA|0812369000|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05434|EKIRIYA VIDYALAYA|EKIRIYA|0815738547|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05435|UDAWATHTHA VIDYALAYA|UDAWATHTHA HANGURANKETHA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05436|UNANTHANNA KANITU VIDUHALA|UNANTHANNA , HANGURANKETHA|0713017112|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05437|DIMBULKUBURA VIDYALAYA|DIMBULKUBURA RIKILLAGASKADA|0815732174|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05438|PALLEGALAUDA VIDYALAYA|ILLAGOLLA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05439|VIDYAKARA MAHA VIDYALAYA|PORAMADULLA RIKILLAGASKADA|0812365061|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05441|RAHATHUNGODA MAHA VIDYALAYA|HEWAHETA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05442|WALUGAMA KANISHTA VIDYALAYA|WALUGAMA  RIKILLAGASKADA|0812223333|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05443|HADAWALAPITIYA VIDYALAYA|HADAWALAPITIYA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05444|HAPUWALA V|HANGURANKETHA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05449|GANNEWA VIDYALAYA|GANNEWA UDAGAMA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05455|HANGURANKETHA C C COLLEGE|HANGURANKETHA|0812369351|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05458|DENIKE SECONDRY SCHOOL|DENIKE RIKILLAGASKADA|0813816301|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05459|PADIYAPELELLA SECONDARY SCHOOL|PADIYAPELELLA|0522287328|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05460|MATHURATA MAHA VIDYALAYA|MATHURATA|0714799210|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05462|UDAWELA M V|MANDARMNUWARA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05464|GONAKALE VIDYALAYA|GONAKALE KANDAPOLA|0522286050|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05465|DEEGLAHINNA M.V.|ELAMULLA|0523055500|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05466|DEHIPE VIDYALAYA|DEHIPE||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05467|DUNUKEBEDDA VIDYALAYA|MATHURATA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05468|PALLEWELA VIDDIYALAYA|RIKILLAGASKADA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05469|BOGAMUWA KANITU VIDUHALA|BOGAMUWA RIKILLAGASKADA|0778247278|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05471|METTIBAMBIYA VIDYALAYA|ELLAMULLA|0724396418|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05474|WELLAGIRIYA VIDYALAYA|MATURATA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05475|VILWALA VIDYALAYA|RIKILLAGASKADA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05476|UDAGALAUDA VIDYALAYA|UDAGALAUDA ILLAGOLLA||2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05483|HAPPAWARA KANISTA VIDYALAYA|LAMASOORIYA ILLAGOLLA|0713842783|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05491|BOGAWANA KILLARNEY T.V|BOGAWANTALAWA|0718286793|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 2
05494|KIRKOSWALD NO 2 T.V|BOGAWANTALAWA|0713397168|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 2
05499|IREBY T.V|NORWOOD|0512240076|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 2
05500|NEWVALLEY T.V|NORWOOD|0718142569|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 2
05501|NAWALAR.T.M.V|NANUOYA|0522051276|2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05521|KUILWATTE TMV|ROSELLA|0715110830|2.Central|Nuwara Eliya|Hatton|Hatton Tamil - 1
05522|BHARATHY TAMIL VIDYALAYA|GONAKELLA KANDAPOLA|0716774826|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05526|AL ARAFA MUSLIM VIDYALAYA|PAHALAGORAKOYA  NAWALAPITIYA||2.Central|Nuwara Eliya|Kotmale|Kotmale
05527|ZAHIRA VIDYALAYA|NUWARA ELIYA||2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 1
05532|RIKILLAGASKADA MODEL SCHOOL|RIKILLAGASKADA|0812365824|2.Central|Nuwara Eliya|Hanguranketha|Udahewaheta
05533|CAMBRIDGE COLLEGE|KOTAGALA|0512244357|2.Central|Nuwara Eliya|Nuwara Eliya|Nuwara Eliya Tamil - 2
06001|REWATHA NATIONAL COLLEGE|SIR LALITHA RAJAPAKASHA MAWATHA,BALAPITIYA|0912258243|3.Southern|Galle|Ambalangoda|Balapitiya
06002|SIDDHARTHA M.M.V.|BALAPITIYA|0912256847|3.Southern|Galle|Ambalangoda|Balapitiya
06003|HEGALLA M.V.|HEGALLA,KOSGODA|0912264469|3.Southern|Galle|Ambalangoda|Balapitiya
06004|KANDEGODA M.V.|AMBALANGODA||3.Southern|Galle|Ambalangoda|Balapitiya
06005|RAJAPAKSHA M.V.|AHUNGALLA|0912264229|3.Southern|Galle|Ambalangoda|Balapitiya
06006|SRIPATHI M.V.|WATHUGEDARA|0912257770|3.Southern|Galle|Ambalangoda|Balapitiya
06008|AMPE K.V.|AMPE,BALAPITIYA|0913098695|3.Southern|Galle|Ambalangoda|Balapitiya
06010|HEENATIYA K.V|HEENATIYA,BALAPITIYA|1912256141|3.Southern|Galle|Ambalangoda|Balapitiya
06012|MADOOWA K.V.|BALAPITIYA|0718115359|3.Southern|Galle|Ambalangoda|Balapitiya
06013|PATHIRAJA M.V.|URAGASMANHANDIYA||3.Southern|Galle|Ambalangoda|Balapitiya
06014|RANDOMBE DAMNADA M.V.|RANDOMBE,AMBALANGODA|0915620185|3.Southern|Galle|Ambalangoda|Balapitiya
06015|SIRI ABAYATHISSA M.V.|SEENIGODA,WATHUGEDARA||3.Southern|Galle|Ambalangoda|Balapitiya
06016|SIRI ABAYATISSA K.V.|WATHUGEDARA|0913920095|3.Southern|Galle|Ambalangoda|Balapitiya
06017|WATHURAWELA GAMINI K.V.|WATHURAWELA,KOSGODA|0913096025|3.Southern|Galle|Ambalangoda|Balapitiya
06033|ALUTHWALA M.V.|ALUTHWALA|0913901160|3.Southern|Galle|Ambalangoda|Ambalangoda
06034|BATAPOLA CENTRAL COLLEGE|BATAPOLA|0912260463|3.Southern|Galle|Ambalangoda|Ambalangoda
06035|SRI DEVANANDA M.V.|AMBALANGODA|0912258263|3.Southern|Galle|Ambalangoda|Ambalangoda
06036|DHARMASOKA COLLEGE|AMBALANGODA|0914941818|3.Southern|Galle|Ambalangoda|Ambalangoda
06037|GRAMANI M.V.|KALUWADUMULLA,AMBALANGODA|0913906619|3.Southern|Galle|Ambalangoda|Ambalangoda
06038|NINDANA MAHA VIDYALAYA|NINDANA BATAPOLA|0915731204|3.Southern|Galle|Ambalangoda|Ambalangoda
06039|PRAJAPATHI GOTHAMI BALIKA MAHA VIDYALAYA|AMBALAMNGODA|0912258558|3.Southern|Galle|Ambalangoda|Ambalangoda
06040|SARALANKARA MAHA VIDYALAYA|GONAPINUWALA|0912277949|3.Southern|Galle|Ambalangoda|Ambalangoda
06041|G/TELIKADA M.V|TELIKADA, GINIMELLAGAHA|0000000000|3.Southern|Galle|Galle|Baddegama
06044|GINIMELLAGAHA M.V|GINIMELLAGAHA|0000000000|3.Southern|Galle|Galle|Baddegama
06048|KIRIBATHAWILA K V|DUNWATHTHA BADDEGAMA|0000000000|3.Southern|Galle|Galle|Baddegama
06058|G/HALPATHOTA ROMAN CATHOLIC JUNIOR SCHOOL|HALPATHOTA BADDEGAMA|0000000000|3.Southern|Galle|Galle|Baddegama
06059|G/SRI DHARMALOKA K.V.|HORAGAMPITA GINIMELLAGAHA|0000000000|3.Southern|Galle|Galle|Baddegama
06061|SRI KALYANATHISSA VIDYALAYA|BATAPOLA|0912260035|3.Southern|Galle|Ambalangoda|Ambalangoda
06063|MEETIYAGODA K.V.|MEETIYAGODA|0913080797|3.Southern|Galle|Ambalangoda|Ambalangoda
06065|RONNADUWA K.V.|MEETIYAGODA||3.Southern|Galle|Ambalangoda|Ambalangoda
06067|P.DE S.KULARATHNA VIDYALAYA|PANIYANA, AMBALANGODA.|0912258686|3.Southern|Galle|Ambalangoda|Ambalangoda
06068|G/KARANDENIYA CENTRAL COLLEGE|KARANDENIYA|0912291629|3.Southern|Galle|Elpitiya|Karandeniya
06069|G/AMPEGAMA SRI NANDASARA M.V.|AMPEGAMA|0775752011|3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06070|G-YATAGALA M.V.|YATAGALA,URAGASMANHANDIYA||3.Southern|Galle|Elpitiya|Karandeniya
06071|G-BANDULA SENADEERA M.V.|KARANDENIYA||3.Southern|Galle|Elpitiya|Karandeniya
06072|G/MADAKUMBURA MAHA VIDYALAYA|MADAKUMBURA,KARANDENIYA|0912290406|3.Southern|Galle|Elpitiya|Karandeniya
06073|G-SRI VIPULASARA M.V.|MAGALA NORTH,URAGASMANHANDIYA||3.Southern|Galle|Elpitiya|Karandeniya
06074|AGALIYA M.V.|AGALIYA||3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06075|ETHKANDURA SWWVALI M.V.|ETHKANDURA|0915675850|3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06076|G/POLGAHAWILA DHARMARAJA M.V.|POLGAHAWILA   AGALIYA||3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06077|REKADAHENA SRI DHAMMADASSI M.V.|REKADAHENA,KAHADUWA|0770479246|3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06078|WELIVITIYA M.V.|WELIVITIYA,UNANVITIYA||3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06080|DIVITHURA SRI DHAMMATHILAKA M.V.|DIVITHURA,ETHKANDURA||3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06081|GALAHEN KANDA M.V.|WANIYARAWELA  BADDEGAMA||3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06082|G/GAM-IMA K.V|GAM-IMA.NAWADAGALA||3.Southern|Galle|Elpitiya|Karandeniya
06083|G/GURUSINHAGODA M V| GURUSINHAGODA  AMPEGAMA|0915735838|3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06085|G-KIRIPEDDA K.V|KIRIPEDDA,KARANDENIYA||3.Southern|Galle|Elpitiya|Karandeniya
06086|G-ANURUDDA K.V.|KARANDENIYA||3.Southern|Galle|Elpitiya|Karandeniya
06087|G/MAHAGODA K.V|KARANDENIYA||3.Southern|Galle|Elpitiya|Karandeniya
06090|THANABADDEGAMA ANAGARIKA DHARMAPALA K.V.|THANABADDEGAMA,ETHKANDURA||3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06098|G/SIR ATHUR C CLARKE MODEL SCHOOL|AKURATIYA  BADDEGAMA|0913789576|3.Southern|Galle|Elpitiya|Divitura-Welivitiya
06116|GAMINI MAHA VIDYALAYA|BENTOTA|0342270407|3.Southern|Galle|Elpitiya|Bentota
06117|ELAKAKA MAHA VIDYALAYA|HABURUGALA,BENTOTA||3.Southern|Galle|Elpitiya|Bentota
06118|GONAGALA MAHA VIDYALAYA|GONAGALAPURA|0342290864|3.Southern|Galle|Elpitiya|Bentota
06119|INDURUWA MAHA VIDYALAYA|KAPUGEWATTA MAHAINDURUWA||3.Southern|Galle|Elpitiya|Bentota
06120|MIRISWATHTHA MAHA VIDYALAYA|MIRISWATHTHA BENTOTA|0342275883|3.Southern|Galle|Elpitiya|Bentota
06121|GALABADA ATHURUWALLA MAHA VIDYALAYA|INDURUWA||3.Southern|Galle|Elpitiya|Bentota
06122|RANTHOTUWILA MAHA VIDYALAYA|RANTHOTUWILA|0343306986|3.Southern|Galle|Elpitiya|Bentota
06123|URAGAHA MAHA VIDYALAYA|MAHA URAGAHA URAGAHA||3.Southern|Galle|Elpitiya|Bentota
06124|BODIMALUWA KANISHTA VIDYALAYA|BODIMALUWA BENTOTA||3.Southern|Galle|Elpitiya|Bentota
06126|DARMAPALA VIDYALAYA|BENTOTA||3.Southern|Galle|Elpitiya|Bentota
06128|GURUKANDA MAHA VIDYALAYA|INDURUWA||3.Southern|Galle|Elpitiya|Bentota
06129|KAIKAWALA SRI REWATHA VIDYALAYA|INDURUWA||3.Southern|Galle|Elpitiya|Bentota
06130|MAHAWILA KANISHTA VIDYALAYA|MAHAWILA HABURUGALA||3.Southern|Galle|Elpitiya|Bentota
06136|HIPANWATTA KANISHATA VIDYALAYA|URAGAHA||3.Southern|Galle|Elpitiya|Bentota
06141|ANANDA M M V|ELPITIYA|0912291216|3.Southern|Galle|Elpitiya|Elpitiya
06142|AWITHTHAWA NALANDA MV|GANEGODA|0776108015|3.Southern|Galle|Elpitiya|Elpitiya
06143|AMUGODA MV|AMUGODA|0771271996|3.Southern|Galle|Elpitiya|Elpitiya
06144|SRI SHASANACHANDRA M V|ELLA,ELPITIYA|0770335835|3.Southern|Galle|Elpitiya|Elpitiya
06145|KAHADUWA M.V|KAHADUWA|0775121074|3.Southern|Galle|Elpitiya|Elpitiya
06146|INDIPALEGODA M V|PITIGALA|0912291207|3.Southern|Galle|Elpitiya|Elpitiya
06147|NAVADAGALA M V|NAWADAGALA|0914944049|3.Southern|Galle|Elpitiya|Elpitiya
06148|OMATTA M V|OMATTA GANEGODA|0771996398|3.Southern|Galle|Elpitiya|Elpitiya
06149|ST MARYS COLLEGE|ELPITIYA|0917901940|3.Southern|Galle|Elpitiya|Elpitiya
06150|ST THERESA B M V|ELPITIYA|0912290378|3.Southern|Galle|Elpitiya|Elpitiya
06152|DELPONA SIRI GIRIMANNDA|PITIGALA|0712099179|3.Southern|Galle|Elpitiya|Elpitiya
06153|ELPITIYA BOGAHA K V|ELPITIYA|0774053338|3.Southern|Galle|Elpitiya|Elpitiya
06155|GANEGODA M V|GANEGODA|0913782225|3.Southern|Galle|Elpitiya|Elpitiya
06158|PITUWALA K V|PITUWALA ELPITIYA|0726137958|3.Southern|Galle|Elpitiya|Elpitiya
06163|RATHNASIRI ROYAL COLLAGE|ELPITIYA|0714475789|3.Southern|Galle|Elpitiya|Elpitiya
06165|IGALATHALAWA KV|IGALATHALAWA ELPITIYA|0779045998|3.Southern|Galle|Elpitiya|Elpitiya
06170|SRI MEDANANDA K V|METIWILIYA, PITIGALA|0715129613|3.Southern|Galle|Elpitiya|Elpitiya
06174|KETENDOLA K V|THALAGASPE|0716104034|3.Southern|Galle|Elpitiya|Elpitiya
06178|HALVITIGALA SHARIPUTHRA.M.V.|MALGALLA THALANGALLA|0713070261|3.Southern|Galle|Udugama|Tawalama
06179|MALLIKA M.V|HINIDUMA|0708187246|3.Southern|Galle|Udugama|Tawalama
06180|NELUWA NATIONALSCHOOL|NELUWA GALLE|0913905369|3.Southern|Galle|Udugama|Tawalama
06181|OPATHA.M.V.|OPATHA|0713324181|3.Southern|Galle|Udugama|Tawalama
06182|VIDYARAJA NATIONL SCHOOL|THAWALAMA|0913905368|3.Southern|Galle|Udugama|Tawalama
06183|BATUWANGALA M.V|BATUWANGALA NELUWA|0711471623|3.Southern|Galle|Udugama|Tawalama
06185|HAPPITIYA K.V|HAPPITIYA NELUWA|0713107069|3.Southern|Galle|Udugama|Tawalama
06186|KADIHINGALA M.V|PANNIMULLA PANAGODA NELUWA|0716071532|3.Southern|Galle|Udugama|Tawalama
06187|LANKAGAMA K.V|LANKAGAMA DENIYAYA|0718363086|3.Southern|Galle|Udugama|Tawalama
06188|LELWALA GIGUMMADUWA K.V|LELWALA NELUWA|0715679970|3.Southern|Galle|Udugama|Tawalama
06190|MAHABODHI M.V.|PANANGALA|0778365576|3.Southern|Galle|Udugama|Tawalama
06197|GALLANDALA K.V.|GALLANDALA PANANGALA|0715764311|3.Southern|Galle|Udugama|Tawalama
06204|DELLAWA M.V|DELLAWA MORAWAKA|0915781606|3.Southern|Galle|Udugama|Tawalama
06212|HABARAKADA DHARMAPALA K.V|THAWALAMA|0718212296|3.Southern|Galle|Udugama|Tawalama
06213|MANDALAPURA.K.V|NELUWA|0713518607|3.Southern|Galle|Udugama|Tawalama
06214|NIYAGAMA VIJITHA M.M.V.|NIYAGAMA,TALGASWALA|0724644088|3.Southern|Galle|Elpitiya|Pitigala
06215|HATHTHAKA M.V.|HATHTHAKA,PITIGALA|0718166129|3.Southern|Galle|Elpitiya|Pitigala
06216|MAPALAGAMA M.M.V.|MAPALAGAMA CENTRAL|0913782310|3.Southern|Galle|Udugama|Mapalagama
06217|NARANOVITA PORAWAGAMA M.V.|PORAWAGAMA|0718179697|3.Southern|Galle|Elpitiya|Pitigala
06218|NAGODA ROYAL COLLEGE|NAGODA,GALLE|0912296479|3.Southern|Galle|Udugama|Mapalagama
06220|PODDIWALA M.V.|PODDIWALA,MATHTHAKA|0913915645|3.Southern|Galle|Elpitiya|Pitigala
06221|G/UNANVITIYA SRI REWATHA M.V.|UNANAWITIYA,BADDEGAMA|0770505460|3.Southern|Galle|Udugama|Mapalagama
06222|YATALAMATHTHA M.V.|YATALAMATHTHA,GALLE|0772889184|3.Southern|Galle|Udugama|Mapalagama
06223|MANAMPITA RATHANASARA M.V.|MANAMPITA,MATHTHAKA|0776556981|3.Southern|Galle|Elpitiya|Pitigala
06224|WEIHENA SIRI GUNARATHANA M.V.|WEIHENA,MATHTHAKA|0718212394|3.Southern|Galle|Elpitiya|Pitigala
06227|BAMBARAWANA K.V.|BAMBARAWANA,MATHTHAKA|0766563807|3.Southern|Galle|Elpitiya|Pitigala
06230|G/URALA K.V.|URALA,WADURABA|0778441448|3.Southern|Galle|Udugama|Mapalagama
06231|G/UDAWALIWITITHALAWA M.V.|UDAWALIWITITHALAWA,NAGODA,GALLE.|0718677532|3.Southern|Galle|Udugama|Mapalagama
06232|WATHTHAHENA SIRI SUCHARITHA K.V.|WATHTHAHENA,TALGASWALA|0771680497|3.Southern|Galle|Elpitiya|Pitigala
06233|MAPALAGAMA SIRISUNANDA NAVODYA M.V.|ATHUMALE.|0912296765|3.Southern|Galle|Udugama|Mapalagama
06235|NARANOVITA SUMANASIRI M.V.|NARANOVITA,PORAWAGAMA|0718279132|3.Southern|Galle|Elpitiya|Pitigala
06240|VIDYADHARSHA K.V.|PELAWATHTHA ROAD,PITIGALA|0778957127|3.Southern|Galle|Elpitiya|Pitigala
06249|SRI PIYARATHANA K.V.|PITIGALA|0714803234|3.Southern|Galle|Elpitiya|Pitigala
06254|G/WANDURAMBA CENTRAL COLLEGE|WANDURAMBA GALLE|0912292481|3.Southern|Galle|Galle|Baddegama
06255|G/BALAGODA MAHA VIDYALAYA|BALAGODA,PODDALA|0913789367|3.Southern|Galle|Galle|Baddegama
06257|G/KEEMBIYA GAMINI MAHA VIDYALAYA|MEDA KEEMBIYA|0000000000|3.Southern|Galle|Galle|Baddegama
06258|CHIST CHURCH BOYS' COLLEGE|BADDEGAMA|0912292288|3.Southern|Galle|Galle|Baddegama
06259|CHIRST CHURCH GIRLS'COLLEGE|BADDEGAMA|0912292289|3.Southern|Galle|Galle|Baddegama
06260|PAHALA KEEMBIYA SIRINIVASA M.V.|PAHALA KEEMBIYA, PODDALA|0000000000|3.Southern|Galle|Galle|Baddegama
06261|G/SRI RATHNASARA MAHA VIDYALAYA|SANDARAWALA, BADDEGAMA|0912292752|3.Southern|Galle|Galle|Baddegama
06262|ST/ANTHONY'S M.V|BADDEGAMA|0912292804|3.Southern|Galle|Galle|Baddegama
06264|G/HEMMELIYA K.V.|BADDEGAMA|0912292757|3.Southern|Galle|Galle|Baddegama
06265|LELWALA K.V.|PAHALA LEELWALA WANDURAMBA|0000000000|3.Southern|Galle|Galle|Baddegama
